prospect_id,company_name,domain,last_scrape_date,status,articles_found,rss_url,error_message
556,Kalkulatory Budowlane,kb.pl,2026-01-18 22:13:53,success,10,https://swelbyboy.github.io/prospect-rss-feeds/kalkulatory-budowlane.xml,
509,Info Brcko,infobrcko.com,2026-01-18 22:13:53,success,4,https://swelbyboy.github.io/prospect-rss-feeds/info-brcko.xml,
618,Manhattan Broadcasting Company,manhattanbroadcasting.com,2026-01-18 22:13:53,success,1,https://swelbyboy.github.io/prospect-rss-feeds/manhattan-broadcasting-company.xml,
644,Monitorul de Vrancea,monitoruldevrancea.ro,2026-01-18 22:13:53,failed,0,,HTTP 403
611,Madridista,madridista.dk,2026-01-18 22:13:53,success,5,https://swelbyboy.github.io/prospect-rss-feeds/madridista.xml,
543,Kaldata,kaldata.com,2026-01-18 22:13:55,success,10,https://swelbyboy.github.io/prospect-rss-feeds/kaldata.xml,
487,Hürriyet Daily News,hurriyetdailynews.com,2026-01-18 22:13:55,success,10,https://swelbyboy.github.io/prospect-rss-feeds/hürriyet-daily-news.xml,
541,Just A Pinch Recipes,justapinch.com,2026-01-18 22:13:56,success,10,https://swelbyboy.github.io/prospect-rss-feeds/just-a-pinch-recipes.xml,
616,Mamadu,mamadu.pl,2026-01-18 22:13:56,success,10,https://swelbyboy.github.io/prospect-rss-feeds/mamadu.xml,
682,NewsTeam,newsteam.ro,2026-01-18 22:13:56,failed,0,,HTTP 403
673,Ne Oldu,neoldu.com,2026-01-18 22:13:57,failed,0,,No entries found in feed
668,natemat,natemat.pl,2026-01-18 22:13:57,success,10,https://swelbyboy.github.io/prospect-rss-feeds/natemat.xml,
717,Onedio,onedio.com,2026-01-18 22:13:58,success,10,https://swelbyboy.github.io/prospect-rss-feeds/onedio.xml,
665,Napi,napi.hu,2026-01-18 22:13:58,success,10,https://swelbyboy.github.io/prospect-rss-feeds/napi.xml,
727,OZON magazine,ozonweb.com,2026-01-18 22:13:59,success,5,https://swelbyboy.github.io/prospect-rss-feeds/ozon-magazine.xml,
479,Horror Fuel,horrorfuel.com,2026-01-18 22:14:00,success,10,https://swelbyboy.github.io/prospect-rss-feeds/horror-fuel.xml,
713,OK Portal,okradio.rs,2026-01-18 22:14:01,success,10,https://swelbyboy.github.io/prospect-rss-feeds/ok-portal.xml,
659,Health Beauty Wellness Tips,myupchar.com,2026-01-18 22:14:01,success,10,https://swelbyboy.github.io/prospect-rss-feeds/health-beauty-wellness-tips.xml,
771,Probashir Diganta,probashirdiganta.com,2026-01-18 22:14:01,failed,0,,HTTP 403
643,Mondo,mondo.rs,2026-01-18 22:14:02,success,10,https://swelbyboy.github.io/prospect-rss-feeds/mondo.xml,
732,Pannon RTV,pannonrtv.com,2026-01-18 22:14:02,success,10,https://swelbyboy.github.io/prospect-rss-feeds/pannon-rtv.xml,
776,Punablog,puna.nl,2026-01-18 22:14:02,failed,0,,HTTP 403
661,naEKRANIE,naekranie.pl,2026-01-18 22:14:02,success,10,https://swelbyboy.github.io/prospect-rss-feeds/naekranie.xml,
799,Regionalni tjednik doo,regionalni.com,2026-01-18 22:14:02,failed,0,,HTTP 403
809,Rodiaki,rodiaki.gr,2026-01-18 22:14:02,failed,0,,HTTP 403
746,Pink.rs,pink.rs,2026-01-18 22:14:02,success,10,https://swelbyboy.github.io/prospect-rss-feeds/pink-rs.xml,
773,Promotions.hu,promotions.hu,2026-01-18 22:14:03,success,10,https://swelbyboy.github.io/prospect-rss-feeds/promotions-hu.xml,
752,Пловдивчани,plovdiv24.bg,2026-01-18 22:14:05,success,9,https://swelbyboy.github.io/prospect-rss-feeds/пловдивчани.xml,
819,PINK INTERNATIONAL COMPANY D.O.O.,rtvpink.com,2026-01-18 22:14:05,success,0,,
795,Realitatea.net,realitatea.net,2026-01-18 22:14:05,success,10,https://swelbyboy.github.io/prospect-rss-feeds/realitatea-net.xml,
812,Spokesman,rozanaspokesman.com,2026-01-18 22:14:06,success,10,https://swelbyboy.github.io/prospect-rss-feeds/spokesman.xml,
846,Situation Publishing,situationpublishing.com,2026-01-18 22:14:07,success,1,https://swelbyboy.github.io/prospect-rss-feeds/situation-publishing.xml,
756,Politika Online,politika.rs,2026-01-18 22:14:07,success,10,https://swelbyboy.github.io/prospect-rss-feeds/politika-online.xml,
856,Someecards,someecards.com,2026-01-18 22:14:07,success,10,https://swelbyboy.github.io/prospect-rss-feeds/someecards.xml,
703,NU Online,nu.or.id,2026-01-18 22:14:07,success,10,https://swelbyboy.github.io/prospect-rss-feeds/nu-online.xml,
874,Steelers Depot,steelersdepot.com,2026-01-18 22:14:08,success,10,https://swelbyboy.github.io/prospect-rss-feeds/steelers-depot.xml,
876,Sterea Economy,stereaeconomy.gr,2026-01-18 22:14:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/sterea-economy.xml,
843,SILKCITYNEWS,silkcitynews.com,2026-01-18 22:14:11,success,5,https://swelbyboy.github.io/prospect-rss-feeds/silkcitynews.xml,
878,Stiripesurse.ro,stiripesurse.ro,2026-01-18 22:14:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/stiripesurse-ro.xml,
913,Technopat,technopat.net,2026-01-18 22:14:11,failed,0,,HTTP 403
815,Romania TV,rtv.net,2026-01-18 22:14:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/romania-tv.xml,
925,Tenniskafe,tenniskafe.com,2026-01-18 22:14:11,failed,0,,HTTP 403
920,Telegrafi,telegrafi.com,2026-01-18 22:14:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/telegrafi.xml,
910,tech360.tv,tech360.tv,2026-01-18 22:14:11,success,10,https://swelbyboy.github.io/prospect-rss-feeds/tech360-tv.xml,
940,TheLiberal.ie,theliberal.ie,2026-01-18 22:14:12,failed,0,,HTTP 403
253,Circle of Cricket India,circleofcricket.com,2026-01-18 22:14:12,success,10,https://swelbyboy.github.io/prospect-rss-feeds/circle-of-cricket-india.xml,
952,The Vinyl District,thevinyldistrict.com,2026-01-18 22:14:13,success,10,https://swelbyboy.github.io/prospect-rss-feeds/the-vinyl-district.xml,
907,Tarsus Akdeniz,tarsusakdeniz.com,2026-01-18 22:14:13,success,10,https://swelbyboy.github.io/prospect-rss-feeds/tarsus-akdeniz.xml,
965,Traffic News,trafficnews.bg,2026-01-18 22:14:14,failed,0,,HTTP 403
862,Sparkles to Sprinkles,sparklestosprinkles.com,2026-01-18 22:14:14,success,10,https://swelbyboy.github.io/prospect-rss-feeds/sparkles-to-sprinkles.xml,
956,Tigris Haber,tigrishaber.com,2026-01-18 22:14:15,success,8,https://swelbyboy.github.io/prospect-rss-feeds/tigris-haber.xml,
980,Star Kentrikis Elladas,tvstar.gr,2026-01-18 22:14:16,success,10,https://swelbyboy.github.io/prospect-rss-feeds/star-kentrikis-elladas.xml,
935,Harris Teeter Deals,theharristeeterdeals.com,2026-01-18 22:14:16,success,6,https://swelbyboy.github.io/prospect-rss-feeds/harris-teeter-deals.xml,
957,Timeturk,timeturk.com,2026-01-18 22:14:17,success,10,https://swelbyboy.github.io/prospect-rss-feeds/timeturk.xml,
782,QuirkyByte,quirkybyte.com,2026-01-18 22:14:17,success,10,https://swelbyboy.github.io/prospect-rss-feeds/quirkybyte.xml,
832,scigacz.pl,scigacz.pl,2026-01-18 22:14:17,success,10,https://swelbyboy.github.io/prospect-rss-feeds/scigacz-pl.xml,
